data_apuracao,dezenas_sorteadas,numero_concurso
08/06/1997,"[15, 26, 12, 33, 48, 13]",66
15/06/1997,"[47, 14, 27, 52, 17, 12]",67
22/06/1997,"[53, 13, 3, 1, 12, 59]",68
29/06/1997,"[56, 58, 34, 53, 25, 45]",69
06/07/1997,"[40, 17, 23, 43, 27, 58]",70
13/07/1997,"[53, 16, 45, 43, 33, 27]",71
20/07/1997,"[19, 48, 43, 1, 34, 44]",72
27/07/1997,"[57, 25, 45, 28, 51, 26]",73
03/08/1997,"[2, 24, 34, 50, 38, 37]",74
10/08/1997,"[36, 49, 37, 35, 24, 21]",75
17/08/1997,"[33, 18, 23, 8, 17, 53]",76
24/08/1997,"[29, 54, 40, 57, 49, 21]",77
31/08/1997,"[22, 32, 46, 12, 25, 31]",78
07/09/1997,"[43, 25, 2, 13, 31, 17]",79
14/09/1997,"[51, 40, 37, 23, 48, 28]",80
21/09/1997,"[47, 41, 10, 60, 54, 23]",81
28/09/1997,"[51, 36, 53, 29, 18, 15]",82
05/10/1997,"[24, 16, 4, 42, 57, 15]",83
12/10/1997,"[10, 34, 4, 6, 25, 40]",84
19/10/1997,"[47, 15, 30, 37, 45, 6]",85
26/10/1997,"[54, 21, 6, 34, 36, 22]",86
02/11/1997,"[40, 4, 28, 32, 11, 5]",87
09/11/1997,"[45, 37, 29, 4, 43, 18]",88
16/11/1997,"[59, 42, 34, 13, 44, 55]",89
23/11/1997,"[21, 26, 40, 54, 9, 52]",90
30/11/1997,"[60, 4, 10, 35, 39, 2]",91
07/12/1997,"[5, 23, 51, 3, 1, 24]",92
14/12/1997,"[22, 53, 31, 28, 2, 36]",93
21/12/1997,"[28, 51, 55, 18, 52, 8]",94
28/12/1997,"[46, 60, 6, 40, 50, 45]",95
04/01/1998,"[4, 42, 58, 26, 7, 40]",96
11/01/1998,"[56, 53, 11, 14, 5, 35]",97
18/01/1998,"[43, 33, 14, 31, 35, 13]",98
25/01/1998,"[30, 33, 24, 11, 46, 60]",99
01/02/1998,"[46, 48, 30, 14, 29, 51]",100
08/02/1998,"[39, 1, 37, 31, 29, 18]",101
15/02/1998,"[44, 42, 37, 56, 19, 20]",102
22/02/1998,"[9, 1, 57, 7, 54, 49]",103
01/03/1998,"[13, 1, 38, 21, 52, 4]",104
08/03/1998,"[3, 13, 31, 43, 46, 49]",105
15/03/1998,"[24, 16, 38, 5, 39, 35]",106
22/03/1998,"[2, 24, 52, 4, 16, 51]",107
29/03/1998,"[60, 29, 34, 24, 21, 59]",108
04/04/1998,"[54, 13, 44, 49, 48, 1]",109
11/04/1998,"[57, 58, 18, 31, 43, 52]",110
18/04/1998,"[52, 32, 4, 33, 25, 22]",111
25/04/1998,"[37, 43, 34, 20, 12, 42]",112
02/05/1998,"[34, 54, 26, 28, 55, 7]",113
09/05/1998,"[47, 54, 18, 6, 12, 37]",114
16/05/1998,"[6, 14, 24, 20, 4, 38]",115
23/05/1998,"[36, 42, 32, 5, 13, 51]",116
30/05/1998,"[53, 42, 27, 20, 33, 25]",117
06/06/1998,"[22, 57, 37, 9, 25, 56]",118
13/06/1998,"[47, 21, 1, 50, 36, 38]",119
20/06/1998,"[46, 45, 16, 40, 27, 3]",120
27/06/1998,"[53, 41, 44, 2, 29, 55]",121
04/07/1998,"[20, 43, 39, 11, 53, 17]",122
11/07/1998,"[13, 42, 16, 32, 14, 26]",123
18/07/1998,"[52, 5, 34, 57, 15, 41]",124
25/07/1998,"[56, 47, 25, 59, 53, 41]",125
01/08/1998,"[32, 28, 6, 10, 11, 40]",126
08/08/1998,"[59, 21, 51, 54, 29, 50]",127
15/08/1998,"[23, 43, 3, 21, 9, 18]",128
22/08/1998,"[46, 54, 10, 9, 1, 32]",129
29/08/1998,"[13, 42, 38, 49, 53, 29]",130
05/09/1998,"[30, 9, 17, 27, 4, 44]",131
12/09/1998,"[44, 35, 50, 41, 9, 7]",132
19/09/1998,"[19, 57, 6, 39, 34, 5]",133
26/09/1998,"[60, 32, 25, 36, 52, 4]",134
03/10/1998,"[35, 40, 21, 59, 53, 22]",135
10/10/1998,"[17, 25, 45, 38, 1, 59]",136
17/10/1998,"[26, 15, 16, 22, 19, 49]",137
24/10/1998,"[41, 14, 37, 5, 40, 27]",138
31/10/1998,"[26, 27, 13, 42, 41, 3]",139
07/11/1998,"[55, 31, 46, 44, 41, 7]",140
14/11/1998,"[10, 22, 42, 13, 41, 58]",141
21/11/1998,"[20, 59, 19, 54, 15, 8]",142
28/11/1998,"[40, 18, 6, 20, 50, 53]",143
05/12/1998,"[8, 32, 44, 36, 45, 55]",144
12/12/1998,"[43, 15, 41, 51, 16, 31]",145
19/12/1998,"[51, 34, 25, 60, 42, 32]",146
24/12/1998,"[24, 6, 38, 23, 28, 16]",147
31/12/1998,"[32, 55, 59, 41, 58, 35]",148
09/01/1999,"[11, 45, 48, 7, 28, 20]",149
16/01/1999,"[50, 44, 12, 55, 52, 54]",150
23/01/1999,"[3, 43, 16, 56, 52, 20]",151
30/01/1999,"[12, 5, 15, 51, 58, 29]",152
06/02/1999,"[47, 2, 31, 42, 45, 30]",153
13/02/1999,"[8, 10, 24, 33, 45, 48]",154
20/02/1999,"[12, 32, 44, 43, 35, 30]",155
27/02/1999,"[52, 23, 42, 17, 55, 49]",156
06/03/1999,"[17, 13, 4, 44, 41, 21]",157
13/03/1999,"[58, 43, 51, 14, 17, 4]",158
20/03/1999,"[16, 9, 50, 58, 11, 35]",159
27/03/1999,"[13, 42, 52, 58, 2, 54]",160
03/04/1999,"[25, 37, 30, 39, 6, 41]",161
10/04/1999,"[23, 33, 51, 38, 48, 21]",162
17/04/1999,"[41, 56, 27, 36, 53, 8]",163
24/04/1999,"[4, 19, 14, 10, 44, 28]",164
01/05/1999,"[39, 56, 19, 23, 10, 35]",165
08/05/1999,"[60, 57, 59, 13, 12, 22]",166
15/05/1999,"[1, 38, 48, 28, 11, 33]",167
22/05/1999,"[45, 2, 35, 9, 50, 31]",168
29/05/1999,"[52, 51, 37, 13, 21, 1]",169
05/06/1999,"[7, 51, 55, 41, 58, 46]",170
12/06/1999,"[54, 27, 4, 43, 40, 46]",171
19/06/1999,"[49, 36, 14, 26, 35, 10]",172
26/06/1999,"[29, 28, 49, 17, 42, 50]",173
03/07/1999,"[11, 52, 22, 23, 36, 59]",174
10/07/1999,"[10, 20, 13, 1, 42, 50]",175
17/07/1999,"[28, 4, 1, 45, 53, 3]",176
24/07/1999,"[35, 22, 39, 41, 59, 38]",177
31/07/1999,"[5, 27, 19, 26, 15, 33]",178
07/08/1999,"[6, 53, 5, 26, 27, 23]",179
14/08/1999,"[39, 6, 29, 60, 51, 23]",180
21/08/1999,"[33, 1, 55, 35, 51, 27]",181
28/08/1999,"[46, 60, 5, 10, 28, 3]",182
04/09/1999,"[16, 11, 7, 40, 44, 2]",183
11/09/1999,"[9, 60, 21, 16, 41, 34]",184
18/09/1999,"[59, 17, 22, 46, 43, 55]",185
25/09/1999,"[24, 26, 51, 25, 14, 23]",186
02/10/1999,"[6, 44, 58, 41, 36, 48]",187
10/10/1999,"[34, 42, 43, 46, 27, 17]",188
16/10/1999,"[41, 53, 38, 4, 31, 15]",189
24/10/1999,"[32, 40, 42, 21, 10, 5]",190
31/10/1999,"[58, 5, 41, 3, 1, 23]",191
06/11/1999,"[1, 60, 26, 41, 28, 54]",192
13/11/1999,"[12, 4, 11, 49, 43, 19]",193
20/11/1999,"[32, 42, 43, 25, 28, 33]",194
27/11/1999,"[17, 3, 44, 37, 9, 32]",195
04/12/1999,"[32, 17, 9, 14, 24, 7]",196
11/12/1999,"[19, 52, 29, 15, 12, 5]",197
18/12/1999,"[40, 23, 1, 18, 35, 8]",198
24/12/1999,"[52, 37, 57, 16, 10, 50]",199
31/12/1999,"[12, 15, 44, 34, 51, 19]",200
08/01/2000,"[55, 22, 5, 30, 35, 20]",201
15/01/2000,"[49, 53, 44, 12, 24, 45]",202
22/01/2000,"[11, 55, 44, 19, 29, 47]",203
29/01/2000,"[31, 41, 51, 39, 58, 29]",204
05/02/2000,"[26, 32, 54, 43, 46, 40]",205
12/02/2000,"[20, 26, 56, 18, 34, 51]",206
19/02/2000,"[19, 7, 3, 55, 24, 53]",207
26/02/2000,"[23, 15, 57, 24, 47, 25]",208
04/03/2000,"[13, 52, 32, 41, 21, 26]",209
11/03/2000,"[37, 58, 20, 38, 48, 32]",210
18/03/2000,"[10, 20, 40, 45, 50, 33]",211
25/03/2000,"[29, 57, 15, 45, 59, 6]",212
01/04/2000,"[3, 30, 9, 35, 23, 32]",213
08/04/2000,"[30, 12, 6, 50, 35, 31]",214
15/04/2000,"[7, 58, 28, 53, 37, 46]",215
22/04/2000,"[35, 42, 59, 18, 30, 14]",216
29/04/2000,"[27, 32, 3, 51, 49, 45]",217
06/05/2000,"[54, 40, 42, 17, 47, 12]",218
13/05/2000,"[26, 23, 49, 28, 42, 36]",219
20/05/2000,"[36, 53, 55, 13, 60, 14]",220
27/05/2000,"[54, 13, 58, 43, 50, 27]",221
03/06/2000,"[5, 48, 30, 55, 52, 19]",222
10/06/2000,"[28, 24, 22, 2, 58, 6]",223
17/06/2000,"[20, 16, 18, 7, 44, 21]",224
24/06/2000,"[21, 16, 4, 37, 2, 58]",225
01/07/2000,"[2, 50, 59, 38, 49, 1]",226
08/07/2000,"[37, 26, 27, 42, 11, 48]",227
15/07/2000,"[16, 40, 45, 59, 43, 13]",228
22/07/2000,"[39, 45, 11, 21, 33, 13]",229
29/07/2000,"[56, 44, 41, 40, 8, 53]",230
05/08/2000,"[16, 59, 27, 42, 44, 36]",231
12/08/2000,"[29, 19, 41, 22, 37, 59]",232
19/08/2000,"[45, 3, 24, 36, 7, 32]",233
26/08/2000,"[15, 45, 54, 25, 42, 41]",234
02/09/2000,"[29, 41, 55, 2, 31, 22]",235
09/09/2000,"[10, 52, 50, 57, 25, 60]",236
16/09/2000,"[36, 7, 45, 31, 56, 57]",237
23/09/2000,"[15, 9, 41, 13, 37, 42]",238
30/09/2000,"[33, 21, 44, 46, 47, 6]",239
07/10/2000,"[59, 28, 25, 41, 57, 38]",240
14/10/2000,"[11, 57, 40, 35, 56, 31]",241
21/10/2000,"[22, 7, 4, 21, 28, 56]",242
28/10/2000,"[20, 47, 23, 32, 16, 11]",243
04/11/2000,"[19, 60, 50, 24, 47, 33]",244
11/11/2000,"[44, 51, 27, 53, 8, 60]",245
18/11/2000,"[2, 57, 32, 43, 16, 37]",246
25/11/2000,"[34, 3, 30, 10, 23, 46]",247
02/12/2000,"[56, 16, 34, 41, 35, 32]",248
09/12/2000,"[21, 55, 54, 40, 36, 49]",249
16/12/2000,"[55, 25, 41, 42, 43, 7]",250
23/12/2000,"[34, 15, 23, 55, 49, 30]",251
30/12/2000,"[17, 54, 4, 51, 32, 26]",252
06/01/2001,"[12, 11, 56, 44, 24, 37]",253
13/01/2001,"[4, 30, 56, 21, 22, 1]",254
20/01/2001,"[32, 44, 55, 19, 20, 16]",255
27/01/2001,"[21, 52, 34, 26, 2, 32]",256
03/02/2001,"[28, 5, 1, 34, 4, 19]",257
10/02/2001,"[12, 60, 54, 7, 55, 50]",258
17/02/2001,"[20, 43, 33, 13, 15, 58]",259
24/02/2001,"[43, 4, 60, 59, 6, 33]",260
03/03/2001,"[5, 54, 20, 56, 30, 16]",261
10/03/2001,"[53, 60, 48, 20, 58, 11]",262
17/03/2001,"[8, 50, 26, 9, 53, 43]",263
24/03/2001,"[5, 25, 31, 13, 1, 33]",264
31/03/2001,"[7, 50, 53, 16, 41, 34]",265
07/04/2001,"[38, 54, 48, 23, 2, 46]",266
14/04/2001,"[58, 1, 45, 55, 8, 46]",267
21/04/2001,"[21, 10, 47, 6, 5, 33]",268
28/04/2001,"[19, 18, 52, 25, 17, 49]",269
05/05/2001,"[45, 27, 35, 40, 5, 9]",270
12/05/2001,"[14, 31, 54, 29, 26, 24]",271
19/05/2001,"[36, 58, 9, 10, 56, 24]",272
26/05/2001,"[47, 52, 10, 27, 23, 17]",273
02/06/2001,"[11, 39, 47, 18, 13, 26]",274
09/06/2001,"[16, 30, 19, 38, 48, 37]",275
16/06/2001,"[53, 59, 39, 45, 22, 57]",276
23/06/2001,"[40, 26, 38, 4, 56, 52]",277
30/06/2001,"[22, 10, 18, 55, 15, 31]",278
07/07/2001,"[31, 59, 4, 58, 23, 47]",279
14/07/2001,"[5, 16, 30, 25, 58, 20]",280
21/07/2001,"[11, 5, 47, 31, 53, 38]",281
28/07/2001,"[33, 24, 36, 9, 14, 23]",282
01/08/2001,"[48, 34, 28, 54, 25, 42]",283
04/08/2001,"[8, 36, 14, 32, 30, 7]",284
08/08/2001,"[50, 56, 41, 12, 32, 37]",285
11/08/2001,"[44, 37, 56, 29, 47, 35]",286
15/08/2001,"[60, 47, 3, 33, 25, 13]",287
18/08/2001,"[50, 9, 18, 11, 6, 17]",288
22/08/2001,"[36, 6, 30, 20, 7, 25]",289
25/08/2001,"[57, 30, 7, 25, 40, 26]",290
29/08/2001,"[22, 16, 5, 41, 18, 17]",291
01/09/2001,"[24, 34, 53, 45, 23, 13]",292
05/09/2001,"[6, 12, 35, 5, 28, 7]",293
08/09/2001,"[28, 45, 41, 22, 57, 25]",294
12/09/2001,"[24, 44, 7, 31, 12, 50]",295
15/09/2001,"[20, 51, 42, 3, 52, 46]",296
19/09/2001,"[20, 28, 41, 1, 33, 36]",297
22/09/2001,"[22, 34, 24, 23, 5, 60]",298
26/09/2001,"[7, 5, 2, 53, 33, 49]",299
29/09/2001,"[27, 57, 41, 38, 28, 24]",300
03/10/2001,"[58, 26, 49, 57, 48, 9]",301
06/10/2001,"[25, 40, 12, 60, 30, 41]",302
10/10/2001,"[7, 13, 30, 37, 47, 17]",303
13/10/2001,"[42, 7, 11, 34, 59, 41]",304
17/10/2001,"[11, 5, 27, 60, 38, 53]",305
20/10/2001,"[30, 19, 57, 41, 56, 47]",306
24/10/2001,"[26, 17, 13, 41, 16, 44]",307
27/10/2001,"[55, 25, 4, 11, 29, 39]",308
31/10/2001,"[39, 50, 25, 55, 11, 4]",309
03/11/2001,"[28, 14, 29, 2, 31, 32]",310
07/11/2001,"[32, 22, 24, 41, 30, 38]",311
10/11/2001,"[14, 30, 50, 41, 47, 23]",312
14/11/2001,"[14, 38, 53, 24, 16, 37]",313
17/11/2001,"[5, 32, 40, 58, 37, 34]",314
21/11/2001,"[50, 21, 43, 12, 28, 22]",315
24/11/2001,"[28, 51, 56, 6, 24, 43]",316
28/11/2001,"[27, 20, 48, 16, 30, 35]",317
01/12/2001,"[19, 53, 40, 3, 31, 20]",318
05/12/2001,"[12, 16, 23, 17, 19, 48]",319
08/12/2001,"[20, 53, 47, 50, 22, 27]",320
12/12/2001,"[11, 31, 32, 48, 49, 4]",321
15/12/2001,"[18, 11, 29, 44, 47, 56]",322
19/12/2001,"[31, 49, 54, 33, 26, 40]",323
22/12/2001,"[22, 8, 30, 15, 47, 25]",324
29/12/2001,"[4, 23, 3, 1, 21, 53]",325
05/01/2002,"[52, 23, 40, 51, 44, 21]",326
09/01/2002,"[46, 38, 29, 33, 32, 48]",327
12/01/2002,"[51, 5, 23, 7, 14, 21]",328
16/01/2002,"[24, 11, 40, 12, 35, 10]",329
19/01/2002,"[2, 4, 23, 37, 14, 51]",330
23/01/2002,"[27, 1, 35, 20, 37, 13]",331
26/01/2002,"[28, 23, 42, 29, 44, 34]",332
30/01/2002,"[35, 27, 53, 44, 52, 4]",333
02/02/2002,"[41, 26, 51, 14, 24, 23]",334
06/02/2002,"[43, 33, 57, 23, 59, 7]",335
09/02/2002,"[2, 18, 54, 22, 30, 26]",336
16/02/2002,"[31, 52, 14, 54, 16, 4]",337
20/02/2002,"[48, 46, 9, 1, 36, 4]",338
23/02/2002,"[13, 16, 12, 5, 27, 50]",339
27/02/2002,"[10, 60, 42, 9, 33, 12]",340
02/03/2002,"[56, 23, 22, 43, 16, 5]",341
06/03/2002,"[29, 49, 54, 51, 16, 34]",342
09/03/2002,"[4, 6, 7, 24, 12, 41]",343
13/03/2002,"[33, 36, 12, 35, 10, 14]",344
16/03/2002,"[56, 11, 58, 46, 51, 22]",345
20/03/2002,"[56, 7, 46, 60, 41, 12]",346
23/03/2002,"[26, 10, 52, 1, 12, 48]",347
27/03/2002,"[39, 40, 33, 52, 19, 30]",348
30/03/2002,"[9, 38, 32, 8, 54, 28]",349
03/04/2002,"[23, 30, 43, 10, 15, 57]",350
06/04/2002,"[15, 16, 59, 60, 24, 41]",351
10/04/2002,"[49, 7, 47, 25, 20, 44]",352
13/04/2002,"[60, 46, 30, 55, 23, 19]",353
17/04/2002,"[40, 52, 38, 16, 7, 41]",354
20/04/2002,"[2, 37, 22, 60, 14, 23]",355
24/04/2002,"[54, 19, 5, 58, 56, 21]",356
27/04/2002,"[45, 53, 32, 2, 30, 35]",357
04/05/2002,"[40, 42, 32, 12, 21, 17]",358
08/05/2002,"[31, 54, 20, 29, 13, 19]",359
11/05/2002,"[47, 24, 29, 55, 53, 23]",360
15/05/2002,"[41, 28, 45, 31, 16, 59]",361
18/05/2002,"[37, 20, 33, 46, 7, 56]",362
22/05/2002,"[39, 54, 29, 49, 47, 19]",363
25/05/2002,"[59, 44, 29, 5, 51, 57]",364
29/05/2002,"[52, 19, 34, 37, 58, 23]",365
01/06/2002,"[6, 4, 51, 7, 21, 15]",366
05/06/2002,"[52, 49, 27, 33, 12, 10]",367
08/06/2002,"[13, 50, 38, 32, 44, 29]",368
12/06/2002,"[21, 42, 1, 60, 35, 14]",369
15/06/2002,"[51, 42, 4, 54, 1, 40]",370
19/06/2002,"[23, 33, 39, 4, 60, 18]",371
22/06/2002,"[24, 17, 46, 57, 16, 39]",372
26/06/2002,"[31, 33, 24, 10, 5, 1]",373
29/06/2002,"[54, 2, 26, 5, 44, 16]",374
03/07/2002,"[51, 9, 42, 5, 58, 1]",375
06/07/2002,"[25, 13, 10, 43, 35, 48]",376
10/07/2002,"[46, 19, 3, 45, 12, 27]",377
13/07/2002,"[55, 45, 48, 41, 5, 38]",378
17/07/2002,"[41, 55, 24, 59, 33, 40]",379
20/07/2002,"[47, 22, 13, 30, 31, 57]",380
24/07/2002,"[9, 56, 46, 28, 10, 55]",381
27/07/2002,"[54, 38, 53, 31, 37, 34]",382
31/07/2002,"[48, 22, 53, 56, 50, 14]",383
03/08/2002,"[28, 50, 47, 24, 40, 52]",384
07/08/2002,"[22, 12, 24, 18, 5, 16]",385
10/08/2002,"[39, 54, 43, 36, 17, 35]",386
14/08/2002,"[29, 28, 48, 47, 43, 22]",387
17/08/2002,"[52, 48, 53, 58, 23, 36]",388
21/08/2002,"[46, 14, 54, 18, 43, 5]",389
24/08/2002,"[7, 22, 34, 12, 38, 53]",390
28/08/2002,"[7, 15, 35, 16, 40, 4]",391
31/08/2002,"[49, 47, 39, 31, 15, 23]",392
04/09/2002,"[12, 50, 36, 6, 35, 40]",393
07/09/2002,"[15, 49, 42, 5, 45, 35]",394
11/09/2002,"[11, 58, 31, 14, 10, 20]",395
14/09/2002,"[47, 18, 6, 45, 34, 42]",396
18/09/2002,"[32, 24, 2, 5, 1, 46]",397
21/09/2002,"[28, 7, 16, 37, 36, 22]",398
25/09/2002,"[59, 55, 16, 27, 47, 11]",399
28/09/2002,"[29, 59, 13, 10, 54, 28]",400
02/10/2002,"[50, 18, 44, 53, 11, 43]",401
05/10/2002,"[27, 43, 58, 5, 16, 56]",402
09/10/2002,"[46, 31, 7, 16, 60, 27]",403
12/10/2002,"[24, 38, 58, 1, 40, 28]",404
16/10/2002,"[57, 60, 34, 24, 29, 47]",405
19/10/2002,"[47, 32, 48, 12, 38, 2]",406
23/10/2002,"[49, 2, 18, 51, 22, 57]",407
26/10/2002,"[49, 44, 33, 28, 56, 14]",408
30/10/2002,"[26, 49, 25, 18, 31, 34]",409
02/11/2002,"[31, 55, 36, 24, 8, 38]",410
06/11/2002,"[10, 56, 12, 31, 45, 38]",411
09/11/2002,"[45, 5, 14, 21, 59, 12]",412
13/11/2002,"[35, 53, 29, 33, 2, 4]",413
16/11/2002,"[35, 26, 58, 52, 45, 16]",414
20/11/2002,"[38, 44, 4, 1, 27, 42]",415
23/11/2002,"[13, 1, 23, 56, 54, 33]",416
27/11/2002,"[25, 7, 12, 21, 42, 34]",417
30/11/2002,"[45, 8, 32, 49, 15, 52]",418
04/12/2002,"[41, 42, 52, 53, 16, 9]",419
07/12/2002,"[43, 12, 59, 30, 57, 29]",420
11/12/2002,"[38, 45, 35, 37, 5, 51]",421
14/12/2002,"[60, 12, 56, 37, 55, 43]",422
18/12/2002,"[8, 22, 33, 40, 32, 53]",423
21/12/2002,"[29, 36, 27, 18, 59, 46]",424
28/12/2002,"[6, 16, 10, 34, 47, 42]",425
04/01/2003,"[7, 32, 54, 50, 30, 37]",426
08/01/2003,"[51, 13, 43, 24, 3, 14]",427
11/01/2003,"[60, 8, 32, 28, 46, 30]",428
15/01/2003,"[55, 32, 17, 36, 26, 43]",429
18/01/2003,"[50, 21, 10, 25, 38, 8]",430
22/01/2003,"[58, 26, 40, 37, 47, 52]",431
25/01/2003,"[50, 17, 13, 27, 4, 39]",432
29/01/2003,"[36, 17, 28, 16, 54, 30]",433
01/02/2003,"[24, 17, 4, 54, 30, 10]",434
05/02/2003,"[37, 11, 17, 31, 43, 10]",435
08/02/2003,"[1, 6, 57, 29, 48, 7]",436
12/02/2003,"[54, 10, 59, 44, 30, 7]",437
15/02/2003,"[38, 48, 14, 3, 11, 5]",438
19/02/2003,"[42, 13, 20, 29, 43, 57]",439
22/02/2003,"[46, 23, 30, 47, 5, 3]",440
26/02/2003,"[2, 15, 58, 10, 59, 21]",441
01/03/2003,"[15, 31, 23, 6, 59, 37]",442
08/03/2003,"[11, 36, 17, 26, 52, 48]",443
12/03/2003,"[48, 52, 57, 24, 3, 33]",444
15/03/2003,"[31, 50, 7, 53, 32, 20]",445
19/03/2003,"[11, 20, 8, 47, 12, 17]",446
22/03/2003,"[24, 55, 15, 33, 25, 42]",447
26/03/2003,"[5, 3, 52, 45, 9, 51]",448
29/03/2003,"[34, 56, 24, 1, 49, 8]",449
02/04/2003,"[59, 51, 13, 1, 9, 50]",450
05/04/2003,"[23, 18, 31, 17, 53, 28]",451
09/04/2003,"[54, 11, 51, 16, 36, 30]",452
12/04/2003,"[58, 52, 8, 34, 20, 23]",453
16/04/2003,"[4, 17, 42, 56, 46, 24]",454
19/04/2003,"[50, 15, 17, 2, 14, 59]",455
23/04/2003,"[17, 40, 22, 27, 33, 3]",456
26/04/2003,"[48, 15, 24, 27, 17, 32]",457
30/04/2003,"[43, 53, 13, 32, 34, 24]",458
03/05/2003,"[43, 17, 8, 15, 49, 39]",459
07/05/2003,"[19, 55, 30, 23, 37, 49]",460
10/05/2003,"[30, 17, 20, 29, 15, 60]",461
14/05/2003,"[27, 48, 17, 19, 26, 22]",462
17/05/2003,"[7, 18, 2, 45, 3, 53]",463
21/05/2003,"[6, 33, 45, 38, 24, 50]",464
24/05/2003,"[46, 31, 1, 57, 22, 51]",465
28/05/2003,"[28, 16, 45, 29, 30, 11]",466
31/05/2003,"[38, 21, 8, 22, 18, 60]",467
04/06/2003,"[23, 6, 25, 39, 51, 5]",468
07/06/2003,"[29, 47, 42, 21, 13, 26]",469
11/06/2003,"[51, 58, 23, 11, 8, 37]",470
14/06/2003,"[51, 59, 31, 5, 36, 32]",471
18/06/2003,"[12, 3, 38, 29, 51, 4]",472
21/06/2003,"[51, 7, 58, 49, 23, 41]",473
25/06/2003,"[34, 3, 12, 50, 32, 40]",474
28/06/2003,"[19, 6, 43, 52, 8, 22]",475
02/07/2003,"[38, 43, 20, 55, 17, 58]",476
05/07/2003,"[47, 34, 8, 6, 18, 38]",477
09/07/2003,"[30, 8, 31, 3, 21, 25]",478
12/07/2003,"[20, 54, 58, 26, 41, 46]",479
16/07/2003,"[36, 38, 33, 14, 49, 41]",480
19/07/2003,"[42, 6, 24, 44, 22, 13]",481
